size,level,mode,criteria,name,description,stage,principles,pros,cons
"small,medium",any,any,any,Increase deliberation size,Increase the number of participants that can participate.,recruitment,any,"Increase the number of people, variety of ideas, and diversity of people.","Decrease depth of discussions and minimize marginalized voices."
large,any,any,any,Break into small facilitated groups,Divide the large group into smaller facilitated groups that deliberate in parallel and report back to plenary.,deliberation,any,"Preserves depth of discussion at scale and keeps every voice heard.","Requires many trained facilitators and coordination overhead."
"small,medium",any,any,any,Deepen the deliberation,"Add more time, expert input, and structured discussion so participants can reason carefully.",deliberation,any,"Produces more considered, higher-quality recommendations.","Slower, more demanding for participants, and reaches fewer people."
any,inform,any,any,Build a balanced information campaign,"Provide clear, objective materials so the public understands the issue before engaging.",learning,any,"Raises public understanding and sets a shared factual baseline.","One-way communication gives participants little influence over outcomes."
any,consult,any,any,Run structured feedback rounds,"Gather public input through surveys, comment periods, and targeted consultations.",consultation,any,"Efficient way to collect broad input and surface concerns early.","Feedback may not shape final decisions, risking consultation fatigue."
any,involve,any,any,Establish ongoing working groups,Work directly with participants over multiple sessions so their concerns are consistently considered.,deliberation,any,"Builds trust and ensures public aspirations are understood throughout.","Time-intensive and demands sustained commitment from participants and staff."
any,collaborate,any,any,Co-design with a stakeholder panel,Partner with participants to jointly develop alternatives and a preferred solution.,design,any,"Shared ownership improves legitimacy and the quality of proposals.","Consensus-building is slow and can be dominated by organized interests."
any,empower,any,any,Delegate decision authority,Place final decision-making power directly in the hands of participants.,decision,any,"Maximizes legitimacy and public buy-in for the outcome.","High political risk and requires institutional commitment to honor the result."
any,any,online,any,Adopt an online deliberation platform,"Use a digital platform to host discussion, voting, and proposal-building remotely.",deliberation,any,"Low cost, wide reach, and flexible participation across locations and schedules.","Excludes those with poor digital access and can reduce discussion depth."
any,any,face-to-face,any,Host in-person deliberation events,Bring participants together physically for facilitated discussion.,deliberation,any,"Richer dialogue, stronger relationships, and higher-quality deliberation.","Higher cost and logistics limit reach and exclude those who cannot travel."
any,any,hybrid,any,Combine in-person and online participation,Blend physical events with digital channels so people can join whichever way suits them.,deliberation,any,"Balances reach with depth and widens who can take part.","More complex to run and requires equitable integration of both channels."
any,any,any,self-selection,Launch an open call for participants,Invite anyone interested to take part through a low-barrier open sign-up.,recruitment,any,"Broad reach, low cost, and strong sense of openness.","Self-selection skews toward the already-engaged and less representative groups."
any,any,any,self-selection,Add representativeness safeguards,Layer targeted outreach and quotas on top of open recruitment to correct for skew.,recruitment,any,"Keeps the process open while improving demographic balance.","Adds recruitment effort and cannot fully match random selection."
any,any,any,sortition,Recruit by civic lottery,Select participants through stratified random sampling to mirror the wider population.,recruitment,any,"Produces a demographically representative mini-public with high legitimacy.","Costly to recruit and incentivize, and reaches only a small number of people."
large,empower,any,sortition,Convene a Citizens' Assembly,"Assemble a large, randomly selected body empowered to deliberate and issue binding recommendations.",decision,any,"Gold-standard for legitimacy, representativeness, and considered judgment.","Expensive, lengthy, and demanding to organize and sustain."
"small,medium",empower,face-to-face,sortition,Run a Citizens' Jury,Convene a small randomly selected panel that hears evidence and deliberates to a verdict.,deliberation,any,"Deep, high-quality deliberation with a representative small group.","Very small sample limits reach and statistical representativeness."
medium,collaborate,any,sortition,Hold a Deliberative Poll,Survey a representative sample before and after informed deliberation to measure considered opinion.,evaluation,any,"Reveals how informed opinion shifts and carries scientific credibility.","Resource-heavy and requires expert facilitation and survey design."
large,"consult,involve",online,self-selection,Run a large-scale online consultation,Crowdsource ideas and feedback from a broad self-selected public through a digital platform.,consultation,any,"Reaches large numbers cheaply and surfaces a wide range of ideas.","Prone to skew, low deliberative depth, and gaming without safeguards."
"small,medium",involve,face-to-face,any,Facilitate deliberative workshops,Run structured in-person workshops where a small group works through the issue together.,deliberation,any,"Intimate setting fosters trust and detailed, careful discussion.","Limited scale and dependent on skilled facilitation."
large,involve,hybrid,sortition,Scale a representative mini-public,Combine random selection with hybrid delivery to run a large yet representative deliberation.,deliberation,any,"Marries representativeness with reach across formats.","Complex logistics and higher cost to coordinate both channels."
large,inform,online,self-selection,Mount a digital public information drive,Distribute balanced explainer content at scale through online channels.,learning,any,"Cost-effectively informs a very large audience.","Purely informational with minimal two-way engagement."
